종목코드,종목명,종가,대비,등락률,순자산가치(NAV),시가,고가,저가,거래량,거래대금,시가총액,순자산총액,상장좌수,기초지수_지수명,기초지수_종가,기초지수_대비,기초지수_등락률
"455660","ACE 미국하이일드액티브(H)","9835","0","0.00","9812.95","9835","9840","9835","79978","786900282","42290500000","0","4300000","Markit iBoxx USD Liquid High Yield Total Return Index","395.65","0.00","0.00"
"245710","ACE 베트남VN30(합성)","32840","30","0.09","33100.78","32775","33105","32500","123151","4042505594","338252000000","0","10300000","VN30 Index(PR)","2083.83","3.48","0.17"
"131890","ACE 삼성그룹동일가중","29680","150","0.51","29701.20","29500","29730","29375","738","21789380","14840000000","0","500000","MKF SAMs EW 지수","29299.03","135.78","0.47"
"108450","ACE 삼성그룹섹터가중","26900","210","0.79","26967.94","26545","27035","26450","16294","436076994","75320000000","0","2800000","MKF SAMs SW","26606.67","349.71","1.33"
"316300","ACE 싱가포르리츠","15045","10","0.07","14898.82","15035","15050","14940","1591","23908999","7522500000","0","500000","Morningstar Singapore REIT Yield Focus Index(PR)","1326.89","-8.26","-0.62"
"277540","ACE 아시아TOP50","26150","-150","-0.57","26310.10","26300","26390","26070","5092","133683220","20920000000","0","800000","S&P ASIA50 Price Return Index","7512.80","0.18","0.00"
"483420","ACE 애플밸류체인액티브","15460","-265","-1.69","15638.55","15770","15770","15415","30746","475630716","19325000000","0","1250000","Bloomberg Top 30 Supply Chain Plus Apple Price Return Index","3723.63","0.00","0.00"
"483320","ACE 엔비디아밸류체인액티브","16710","45","0.27","16799.49","16520","16960","16500","1090879","18122351073","190494000000","0","11400000","KEDI 글로벌AI반도체 지수","7880.26","0.00","0.00"
"448540","ACE 엔비디아채권혼합","25255","-75","-0.30","25275.81","25315","25315","25175","130172","3284842803","285381500000","0","11300000","Bloomberg Blended NVIDIA Equity and Korean Bond Index","9570.99","0.00","0.00"
"0099L0","ACE 우량회사채(AA-이상)액티브","99180","-35","-0.04","99235.73","99220","99250","99170","7760","769613880","126057780000","0","1271000","KIS 1~3년 우량크레딧(AA-이상) 총수익지수","117.59","0.00","0.00"
"433500","ACE 원자력TOP10","52580","1165","2.27","52540.05","52930","52950","51410","170762","8891041205","168256000000","0","3200000","DeepSearch 원자력 TOP 10지수","5261.78","99.32","1.92"
"0102X0","ACE 유럽방산TOP10","11270","280","2.55","11250.52","11330","11330","11210","80506","905360796","12397000000","0","1100000","NYSE FactSet Europe Defense TOP10 Index (Price Return)","736.49","0.00","0.00"
"487920","ACE 인도시장대표BIG5그룹액티브","8795","-120","-1.35","8808.07","8880","8890","8795","9543","84401060","9674500000","0","1100000","Indxx India Big 5 Conglomerates Index (Price Return)","4621.80","0.00","0.00"
"487910","ACE 인도컨슈머파워액티브","9265","-80","-0.86","9267.00","9350","9355","9245","13042","120963994","11118000000","0","1200000","Indxx India Super Consumption Index (Price Return)","3333.27","0.00","0.00"
"145670","ACE 인버스","2590","-25","-0.96","2577.53","2620","2635","2570","29888","77558528","2331000000","0","900000","코스피 200 선물지수","3521.96","45.78","1.32"
"497520","ACE 일라이릴리밸류체인","13265","-70","-0.52","13283.34","13335","13335","13225","6816","90380150","9285500000","0","700000","Solactive Eli Lilly Value Chain Index(PR)","3369.42","0.00","0.00"
"238720","ACE 일본Nikkei225(H)","38345","-435","-1.12","38446.59","38355","38440","38075","5631","215567818","30676000000","0","800000","Nikkei 225","53583.57","-352.60","-0.65"
"196030","ACE 일본TOPIX레버리지(H)","73480","70","0.10","73378.21","72655","73480","71900","771","55678050","36740000000","0","500000","TOPIX","3656.40","-2.28","-0.06"
"205720","ACE 일본TOPIX인버스(합성 H)","1706","1","0.06","1712.20","1708","1715","1700","16089","27492006","6482800000","0","3800000","TOPIX","3656.40","-2.28","-0.06"
"469160","ACE 일본반도체","19535","-70","-0.36","19513.10","20155","20155","19115","6435","124875237","9767500000","0","500000","Bloomberg Japan Semiconductor Select Top 25 Index(Price Return)","5417.58","14.52","0.27"
