표준코드,단축코드,한글 종목명,한글 종목약명,영문 종목명,상장일,시장구분,증권구분,소속부,주식종류,액면가,상장주식수,,,,,,corp_code
KR7010950004,10950,S-Oil보통주,S-Oil,S-OilCorporation,1987-05-27,KOSPI,주권,,보통주,2500,112582792,,10950,10950,10950,010950,010950
KR7005090006,5090,SGC에너지보통주,SGC에너지,SGC Energy,1993-01-06,KOSPI,주권,,보통주,5000,14409333,,5090,5090,5090,005090,005090
KR7001380005,1380,SG글로벌보통주,SG글로벌,SG GLOBAL,1976-06-29,KOSPI,주권,,보통주,500,44964143,,1380,1380,1380,001380,001380
KR7001770007,1770,SHD보통주,SHD,SHIN HWA DYNAMICS,1988-11-23,KOSPI,주권,,보통주,5000,1214878,,1770,1770,1770,001770,001770
KR7002360006,2360,SH에너지화학보통주,SH에너지화학,SH ENERGY & CHEMICAL,1985-12-23,KOSPI,주권,,보통주,500,111133730,,2360,2360,2360,002360,002360
KR7009160003,9160,SIMPAC보통주,SIMPAC,SIMPACInc,1989-07-29,KOSPI,주권,,보통주,500,65370968,,9160,9160,9160,009160,009160
KR7123700007,123700,SJM보통주,SJM,"SJM CO.,LTD",2010-05-31,KOSPI,주권,,보통주,500,15604898,,123700,123700,123700,123700,123700
KR7025530007,25530,SJM홀딩스보통주,SJM홀딩스,SJM HOLDINGS,1997-02-12,KOSPI,주권,,보통주,500,14934008,,25530,25530,25530,025530,025530
KR703473K016,03473K,SK1우선주,SK우,SK(1P),2015-08-17,KOSPI,주권,,종류주권,200,566135,,03473K,,0,000000,
KR7011790003,11790,SKC보통주,SKC,SKC,1997-07-18,KOSPI,주권,,보통주,5000,37868298,,11790,11790,11790,011790,011790
KR7018670000,18670,SK가스보통주,SK가스,SKGas,1997-08-27,KOSPI,주권,,보통주,5000,9245244,,18670,18670,18670,018670,018670
KR7001740000,1740,SK네트웍스보통주,SK네트웍스,"SKNetworksCo.,Ltd",1977-06-30,KOSPI,주권,,보통주,2500,221277902,,1740,1740,1740,001740,001740
KR7210980009,210980,SK디앤디보통주,SK디앤디,"SK D&D Co., Ltd",2015-06-23,KOSPI,주권,,보통주,1000,18617382,,210980,210980,210980,210980,210980
KR7395400005,395400,SK리츠보통주,SK리츠,SK REIT,2021-09-14,KOSPI,부동산투자회사,,보통주,500,299957920,,395400,395400,395400,395400,395400
KR7034730002,34730,SK보통주,SK,SK,2009-11-11,KOSPI,주권,,보통주,200,72502703,,34730,34730,34730,034730,034730
KR7402340004,402340,SK스퀘어보통주,SK스퀘어,SKSQUARE,2021-11-29,KOSPI,주권,,보통주,100,132087115,,402340,402340,402340,402340,402340
KR7361610009,361610,SK아이이테크놀로지보통주,SK아이이테크놀로지,SK ie technology,2021-05-11,KOSPI,주권,,보통주,1000,81787100,,361610,361610,361610,361610,361610
KR7100090000,100090,SK오션플랜트보통주,SK오션플랜트,SKoceanplant,2023-04-19,KOSPI,주권,,보통주,500,62478129,,100090,100090,100090,100090,100090
KR7096771001,96775,SK이노베이션 1우선주,SK이노베이션우,SK Innovation(1P),2007-07-25,KOSPI,주권,,구형우선주,5000,1248426,,96775,96775,96775,096775,096775
KR7096770003,96770,SK이노베이션 보통주,SK이노베이션,SK Innovation,2007-07-25,KOSPI,주권,,보통주,5000,169052788,,96770,96770,96770,096770,096770
KR7001511005,1515,SK증권1우선주,SK증권우,SKSecurities(1P),1989-08-29,KOSPI,주권,,구형우선주,500,3912514,,1515,1515,1515,001515,001515
KR7001510007,1510,SK증권보통주,SK증권,SKSecurities,1986-09-20,KOSPI,주권,,보통주,500,472590171,,1510,1510,1510,001510,001510
KR728513K010,28513K,SK케미칼1우선주,SK케미칼우,SKCHEMICALS(1P),2018-01-05,KOSPI,주권,,종류주권,5000,2115429,,28513K,,0,000000,
KR7285130001,285130,SK케미칼보통주,SK케미칼,SKCHEMICALS,2018-01-05,KOSPI,주권,,보통주,5000,17298766,,285130,285130,285130,285130,285130
KR7017670001,17670,SK텔레콤보통주,SK텔레콤,SKTelecom,1989-11-07,KOSPI,주권,,보통주,100,214790053,,17670,17670,17670,017670,017670
KR7003570009,3570,SNT다이내믹스보통주,SNT다이내믹스,SNT DYNAMICS,1976-07-08,KOSPI,주권,,보통주,2500,33252697,,3570,3570,3570,003570,003570
KR7064960008,64960,SNT모티브보통주,SNT모티브,SNT MOTIV,2002-03-11,KOSPI,주권,,보통주,5000,26540272,,64960,64960,64960,064960,064960
KR7100840008,100840,SNT에너지보통주,SNT에너지,"SNTEnergy Co.,Ltd.",2008-02-22,KOSPI,주권,,보통주,500,20680783,,100840,100840,100840,100840,100840
KR7036530004,36530,SNT홀딩스보통주,SNT홀딩스,SNT Holdings,2002-10-22,KOSPI,주권,,보통주,500,16303886,,36530,36530,36530,036530,036530
KR7005610001,5610,SPC삼립보통주,SPC삼립,SPC SAMLIP,1975-05-02,KOSPI,주권,,보통주,5000,8629009,,5610,5610,5610,005610,005610
KR7465770006,465770,STX그린로지스보통주,STX그린로지스,STX Green Logis,2023-09-15,KOSPI,주권,,보통주,2500,7171032,,465770,465770,465770,465770,465770
KR7011810009,11810,STX보통주,STX,STX,1990-09-12,KOSPI,주권,,보통주,2500,31017927,,11810,11810,11810,011810,011810
